Nation,Country,Region,Year,CO2 Emissions,Emissions from bunker fuels,Emissions from cement production,Emissions from gas flaring,Emissions from gas fuel consumption,Emissions from liquid fuel consumption,Emissions from solid fuel consumption,Gdp Ppp,Number of Records,Per capita CO2 emissions,Population,Total CO2 emissions from fossil-fuels and cement production
UNITED KINGDOM,UNITED KINGDOM,Europe,1960,"1,59,340","5,159","1,836",0,41,"35,178","1,22,285",6.76E+11,1,3.02,52410496,"1,59,340"
FEDERAL REPUBLIC OF GERMANY,GERMANY,Europe,1962,"1,59,755","2,648","3,889",0,504,"34,741","1,20,621",1.16E+12,1,2.81,74238494,"1,59,755"
ISLAMIC REPUBLIC OF IRAN,IRAN,Asia,2011,"1,59,967","2,935","8,296","9,119","80,041","61,124","1,386",1.19E+12,1,2.12,75184322,"1,59,967"
UNITED KINGDOM,UNITED KINGDOM,Europe,1961,"1,60,605","4,885","1,955",0,41,"37,736","1,20,873",6.91E+11,1,3.03,52765864,"1,60,605"
REPUBLIC OF KOREA,North Korea,Asia,2011,"1,60,738","10,614","6,569",0,"25,975","45,047","83,147",1.41E+12,1,3.3,24631359,"1,60,738"
UNITED KINGDOM,UNITED KINGDOM,Europe,1967,"1,61,581","4,761","2,390",0,758,"57,866","1,00,568",8.19E+11,1,2.93,54904680,"1,61,581"
UNITED KINGDOM,UNITED KINGDOM,Europe,1962,"1,61,811","4,563","1,938",0,59,"40,461","1,19,353",6.97E+11,1,3.03,53146634,"1,61,811"
UNITED KINGDOM,UNITED KINGDOM,Europe,1976,"1,63,325","5,181","2,146","1,614","20,207","64,315","75,043",1.02E+12,1,2.89,56212943,"1,63,325"
GERMANY,GERMANY,Europe,1944,"1,63,830",0,0,0,36,604,"1,63,190",8.06E+11,1,0,71244059,"1,63,830"
GERMANY,GERMANY,Europe,1938,"1,64,120",0,"2,122",0,9,510,"1,61,479",6.50E+11,1,0,66439556,"1,64,120"
UNITED KINGDOM,UNITED KINGDOM,Europe,1975,"1,64,615","4,968","2,297","1,614","19,482","65,843","75,379",9.91E+11,1,2.92,56179925,"1,64,615"
UNITED KINGDOM,UNITED KINGDOM,Europe,1963,"1,64,664","4,509","1,912",0,79,"42,776","1,19,897",7.28E+11,1,3.06,53537821,"1,64,664"
UNITED KINGDOM,UNITED KINGDOM,Europe,1977,"1,64,916","4,592","2,102","1,739","21,564","65,527","73,985",1.04E+12,1,2.92,56224944,"1,64,916"
UNITED KINGDOM,UNITED KINGDOM,Europe,1978,"1,65,008","4,744","2,165","2,346","22,250","67,523","70,725",1.08E+12,1,2.92,56223974,"1,65,008"
INDIA,INDIA,Asia,1988,"1,65,339",904,"5,535","2,039","4,150","36,467","1,17,149",1.38E+12,1,0.2,834944397,"1,65,339"
UNITED KINGDOM,UNITED KINGDOM,Europe,1968,"1,65,522","5,097","2,431",67,"1,710","60,249","1,01,064",8.54E+11,1,2.99,55171084,"1,65,522"
UNITED KINGDOM,UNITED KINGDOM,Europe,1964,"1,65,900","4,537","2,307",0,140,"47,120","1,16,332",7.67E+11,1,3.06,53920055,"1,65,900"
USSR,RUSSIA,Europe,1949,"1,66,250",0,"1,088",0,"2,357","29,341","1,33,465",7.13E+11,1,0,179916092,"1,66,250"
UNITED KINGDOM,UNITED KINGDOM,Europe,1974,"1,68,423","5,976","2,419","1,480","18,603","74,042","71,879",9.96E+11,1,2.99,56122405,"1,68,423"
UNITED KINGDOM,UNITED KINGDOM,Europe,1966,"1,68,684","4,586","2,281",0,450,"55,870","1,10,083",8.00E+11,1,3.08,54606608,"1,68,684"
UNITED KINGDOM,UNITED KINGDOM,Europe,1965,"1,69,790","4,787","2,307",0,460,"51,775","1,15,248",7.84E+11,1,3.11,54278349,"1,69,790"
UNITED KINGDOM,UNITED KINGDOM,Europe,1969,"1,71,491","5,377","2,369",404,"3,344","64,953","1,00,422",8.71E+11,1,3.08,55406435,"1,71,491"
FEDERAL REPUBLIC OF GERMANY,GERMANY,Europe,1967,"1,72,762","3,358","4,310",0,"2,358","65,232","1,00,862",1.37E+12,1,2.89,77106876,"1,72,762"
FEDERAL REPUBLIC OF GERMANY,GERMANY,Europe,1963,"1,74,409","2,601","3,973",0,655,"43,023","1,26,758",1.19E+12,1,3.02,74820389,"1,74,409"
FEDERAL REPUBLIC OF GERMANY,GERMANY,Europe,1966,"1,74,573","3,776","4,724",0,"1,777","62,748","1,05,324",1.36E+12,1,2.93,76558016,"1,74,573"
UKRAINE,UKRAINE,Europe,1992,"1,74,988",606,"2,734",0,"53,315","35,558","83,382",4.48E+11,1,3.39,51314080,"1,74,988"
UNITED KINGDOM,UNITED KINGDOM,Europe,1979,"1,75,864","4,768","2,195","3,409","24,343","69,071","76,845",1.10E+12,1,3.11,56220089,"1,75,864"
UNITED KINGDOM,UNITED KINGDOM,Europe,1972,"1,76,844","6,326","2,454","1,076","14,372","78,934","80,007",9.41E+11,1,3.15,55927492,"1,76,844"
GERMANY,GERMANY,Europe,1939,"1,77,042",0,"1,898",0,16,620,"1,74,508",7.11E+11,1,0,66439556,"1,77,042"
FEDERAL REPUBLIC OF GERMANY,GERMANY,Europe,1965,"1,77,427","3,351","4,642",0,"1,466","56,398","1,14,921",1.32E+12,1,3.01,75990737,"1,77,427"
UNITED KINGDOM,UNITED KINGDOM,Europe,1970,"1,78,092","6,211","2,320",807,"6,306","72,343","96,316",8.91E+11,1,3.19,55611401,"1,78,092"
FEDERAL REPUBLIC OF GERMANY,GERMANY,Europe,1964,"1,78,232","3,068","4,574",0,"1,003","49,361","1,23,294",1.26E+12,1,3.05,75410766,"1,78,232"
JAPAN,JAPAN,Asia,1969,"1,78,336","9,402","6,989",0,"1,288","1,09,737","60,323",3.23E+12,1,1.74,102323674,"1,78,336"
GERMANY,GERMANY,Europe,1940,"1,78,594",0,"1,461",0,8,884,"1,76,240",7.16E+11,1,0,71244059,"1,78,594"
UNITED KINGDOM,UNITED KINGDOM,Europe,1973,"1,79,993","6,678","2,718","1,345","15,555","79,630","80,745",1.01E+12,1,3.2,56039166,"1,79,993"
UNITED KINGDOM,UNITED KINGDOM,Europe,1971,"1,80,219","6,484","2,407",942,"10,160","73,530","93,180",9.08E+11,1,3.22,55785325,"1,80,219"
GERMANY,GERMANY,Europe,1941,"1,80,360",0,"1,543",0,7,755,"1,78,054",7.61E+11,1,0,71244059,"1,80,360"
INDIA,INDIA,Asia,1989,"1,80,787",774,"6,256","3,003","5,054","41,134","1,25,341",1.48E+12,1,0.21,852736160,"1,80,787"
